,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,12,13,16,17,20,21,24,25
0,1,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,-7.74,-4.65,-9.8,-4.83,-9.64,-6.14,-5.39,1.38
1,2,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,4.68,3.29,10.1,15.91,12.25,17.11,7.13,9.46
2,3,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,4.45,6.86,5.98,10.86,7.14,9.19,6.07,11.35
3,4,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,-5.99,-4.57,-5.23,-2.42,-4.68,-1.81,-8.37,-2.67
4,5,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,16.83,12.53,13.41,11.1,12.84,12.25,15.42,9.02
5,6,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,21.47,22.23,20.69,18.24,25.24,16.37,15.43,9.15
6,7,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,17.01,16.11,29.25,27.78,24.78,36.64,34.1,34.58
7,8,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
8,9,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,13.09,11.95,22.27,21.25,22.92,24.65,17.76,18.17
9,10,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,11.5,5.34,12.33,5.46,6.21,8.8,14.46,3.58
10,11,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,9.7,10.42,9.33,11.48,12.14,7.79,7.29,11.26
11,12,3,15,1,675,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",1,7.06,6.43,5.27,10.03,8.4,10.19,3.06,3.63
12,13,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,-7.67,-3.64,5.64,7.38,5.77,10.41,5.57,8.72
13,14,3,15,1,675,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",1,8.25,7.88,18.35,13.2,20.35,17.86,19.05,11.06
14,15,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,0.18,0.89,-2.65,-2.85,1.31,1.94,-2.26,-3.99
15,16,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,15.31,14.95,13.52,12.72,14.25,11.47,13.68,13.04
16,17,3,15,1,675,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0', '0']",1,-14.95,-17.47,-16.4,-18.35,-19.54,-16.07,-10.02,-15.1
17,18,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0', '0']",1,7.11,6.84,7.69,12.71,9.35,10.69,9.63,6.45
18,19,3,15,1,675,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",1,5.19,11.43,1.13,6.67,6.62,3.45,-1.11,5.23
19,20,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,8.59,8.46,9.19,10.71,9.63,12.2,9.02,11.52
20,21,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,2.88,4,10.74,11.92,7.15,16.75,16.93,13.39
21,22,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,-6.98,-8.47,-10.5,-14.34,-13.32,-10.43,-7.28,-9.25
22,23,3,15,1,675,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",1,11.6,10.02,14.73,13.91,15.06,14.97,12.6,12.01
23,24,4,10,1,1000,434,454,RVF-ASS-STRONG,PATROL,POLICE,no,"['0', '0', '0', '0', '0', '0']",1,0.67,0.98,6.92,7.75,6.52,13.2,11.58,12.89
0,1,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,14.94,12.33,14.42,8.85,13.62,12.21,15.68,5.34
1,2,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,5.26,4.54,5.77,3.99,7.2,7.05,4.83,1.82
2,3,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,-2.47,-4.57,-1.41,-4.83,-3.07,-2,-1.31,-6.73
3,4,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,5.52,5.23,5.4,4.96,5.07,5,2.93,7.88
4,5,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,10.82,12.08,7.64,11.2,10.96,8.52,3.7,10.13
5,6,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,7.04,2.96,7.31,2.85,3.68,2.89,5.6,0.37
6,7,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,-10.91,-11.73,-7.24,-9.34,-0.35,-5.68,-9.57,-11.86
7,8,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,13.6,16.33,16,22.09,20.6,22.15,12.89,21.01
8,9,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,18.15,21.51,13.34,13.78,19.96,10.46,4.03,6.06
9,10,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,8.3,7.34,3.65,0.49,4.84,0.13,3.34,0.23
10,11,1,32,1,32,459,435,RVF-ASS-STRONG,PRACTICE,PERFECT,no,"['0', '0', '0', '0', '0', '0']",2,6.55,7.76,6,11.27,8.77,6.89,1.82,7.27
11,12,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,-1.82,-7.35,3.14,-7.02,-4.78,-2.79,4.88,-2.04
12,13,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,19.72,19.04,12.86,12.63,15.91,11.82,11.62,12.59
13,14,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,7.57,8.73,7.93,8.23,11.26,7.25,7.01,4.92
14,15,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0', '0']",2,0,0,0,0,0,0,0,0
15,16,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0', '0', '0']",2,-9.47,-11.57,-0.31,-3.89,-8.31,1.66,4.04,1.63
16,17,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0', '0']",2,11.07,14.9,10.11,9.3,13.76,11.56,7.36,7.37
17,18,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,14.47,14.54,17.27,21.1,16.39,21.47,19.06,22.9
18,19,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,11.02,13.38,10.32,10.13,11.52,11.01,5.6,8.93
19,20,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,-1.1,-3.15,-4.8,-2.29,-5.03,-5.7,-3.74,-2.4
20,21,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,6.07,6.03,10.07,10.6,5.82,13.52,17,13.17
21,22,2,18,1,348,585,553,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,33.15,31.52,24.43,25.29,29.76,23.53,16.23,16.97
22,23,3,24,1,684,230,658,RVF-ASS-STRONG,ESSAY,WRITE,no,"['0', '0', '0', '0', '0', '0']",2,1.54,3.54,-0.25,0.72,0.27,0.46,-0.81,-0.4
23,24,4,16,1,1006,97,142,RVF-ASS-STRONG,CAFE,COFFEE,no,"['0', '0', '0', '0', '0', '0']",2,2.63,1.02,5.57,1.79,3.74,6.18,6.77,-0.24
0,1,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,-7.68,-3.94,-3.16,-2.04,-3.12,-0.42,-0.84,-0.35
1,2,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0
2,3,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,9.06,9.2,4.63,4.41,4.78,5.07,5.14,4.29
3,4,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,1.79,4.76,1.84,6.66,4.93,5.88,1.43,7.3
4,5,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,8.96,10.58,12.29,13.56,13.16,14.65,13.44,11.75
5,6,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0
6,7,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,17.7,16.33,25.61,21.51,21.71,28.78,23.61,22.08
7,8,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,0,0,0,0,0,0,0,0
8,9,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,-8.36,-4.72,3.63,8.77,4.17,11.9,4,11.44
9,10,2,30,1,360,316,248,RVF-ASS-STRONG,HOOK,FISH,no,"['0', '0', '0', '0', '0', '0']",3,-2.05,0.71,2.99,2.55,-1.05,1.43,5.35,4.43
10,11,1,37,1,37,577,35,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",3,16,19.62,18.27,21.61,22.32,21.41,10.7,19.4
11,12,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,11.33,11.45,9.91,8.2,10.08,7.75,5.44,7.91
12,13,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,-11.63,-11.02,-3.14,-4.48,-4.54,2.8,-4,-4.6
13,14,3,46,1,706,263,262,RVF-ASS-STRONG,FORGIVE,FORGET,no,"['0', '0', '0', '0', '0', '0']",3,8.69,13.1,12.83,14.23,18.34,18.35,11.74,11.57
14,15,4,22,1,1012,64,222,RVF-ASS-STRONG,BOILED,EGGS,no,"['0', '0', '0', '0', '0', '0']",3,-17.58,-5.97,-9.37,1.77,-7.69,-1.9,-2.99,5.11
