,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,12,13,16,17,20,21,24,25
0,1,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,-11.73,-8.98,-6.42,-4.36,-6.14,-5.44,-6.06,-1.69
1,2,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,-0.92,-1.81,0.86,5.08,6.65,5.84,-0.15,9.23
2,3,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",1,-7.87,-6.92,-4.14,-2.73,-4.14,-2.13,-3.2,2.1
3,4,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,2.77,1.19,3.24,1.84,2.38,1.41,3.84,-0.31
4,5,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
5,6,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
6,7,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
7,8,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,11.34,7.63,8.75,5.13,6.12,2.01,7.83,2.4
8,9,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,8.18,7.49,14.61,19.06,14.24,20.69,13.52,21.59
9,10,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,-1.54,7.41,-2.77,8.33,-1.21,-0.52,0.98,19.24
10,11,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,-7.65,-7.96,-7.67,-6.5,-9.54,-6.66,-4.53,-2.73
11,12,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,7.34,9.18,9.66,11.24,9.72,12.72,8.29,11.37
12,13,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
13,14,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,13.24,9.26,4.22,2.62,5.44,1.26,3.28,2.52
14,15,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,21.35,22.48,21.2,21.64,23,24.35,17.83,22.48
15,16,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,-1.12,3.51,3.85,6.53,8.05,10.03,5.14,4.59
16,17,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,1.74,2.24,4.71,3.42,6.29,6.66,3.59,4.05
17,18,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0
18,19,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,10.77,10.28,11.46,11.06,13.83,13.42,12.33,11.25
19,20,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,2.56,5.29,0.44,2.2,-3.78,-1.96,2.64,9.74
20,21,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,4.68,1.26,11.28,7.06,9.08,12.62,11.96,5.81
21,22,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,3.07,12.25,4.56,13.26,18.95,11.14,-0.58,10.93
22,23,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,7.82,5.05,7.98,4.79,4.32,3.65,7.8,5.59
23,24,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,-14.59,-15.06,-9.83,-12.01,-12.46,-10.66,-9.45,-9.35
0,1,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",2,15.84,15.31,16.06,14.68,18.21,15.03,8.02,6.79
1,2,3,13,1,1113,26,1126,RVF-ASS-STRONG,STEEP,HILL,no,"['0', '0', '0', '0', '0', '0']",2,12.61,9.3,5.6,3.92,3.93,2.44,6.83,4.26
2,3,1,65,1,65,129,1229,RVF-ASS-STRONG,THEFT,STEAL,no,"['0', '0', '0', '0', '0', '0']",2,0,0,0,0,0,0,0,0
