,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
0,1,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,-0.01,2.63,-2.2,6.08,3.09,9.34,7.24,9.58,6.95
1,2,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,4.06,10.97,6.56,11.74,5.42,10.89,11.09,10.28,6.47
2,3,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,14.2,18.95,15.81,17.3,14.4,21.03,17.55,18.64,15.14
3,4,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,-4.15,-2.06,-4.31,-1.57,-4.56,2.85,-0.69,2.64,0.71
4,5,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,16.96,15.75,15.93,15.27,17.04,13.6,14.7,13.24,9.82
5,6,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,42.7,38.01,48.91,42.54,37.6,30.26,36.69,31.9,23.84
6,7,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,13.44,16.03,11.44,26.66,21.49,22.37,27.7,25.88,21.43
7,8,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0
8,9,1,24,1,24,123,525,RVF-ASS-STRONG,CHOIR,SING,no,"['0', '0', '0', '0', '0', '0']",1,19.38,23.71,21.22,25.7,17.47,24.08,25.08,25.85,20.89
9,10,2,10,1,340,463,403,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",1,9.2,2.58,2.74,4.7,11.09,1,6.4,1.58,3.49
