,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
0,1,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,-4.49,-2.98,-10.28,-0.25,2.85,8.8,5.57,9.08,9.03
1,2,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,3.42,7.34,6.49,8.14,3.17,14.54,5.67,8.13,-1.18
2,3,1,30,1,30,59,1159,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",1,-2.56,-4.39,-6.32,-1.61,1.21,3.98,4.75,4.98,8.21
3,4,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,-0.88,-8.08,-8,-7.87,4.31,-8.39,-1.87,-8.51,-2.76
4,5,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0
5,6,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0
6,7,3,18,1,1118,36,1136,RVF-ASS-STRONG,TELLER,BANK,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0
7,8,4,9,1,1659,18,1118,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",1,8.26,3.74,6.33,3.17,6.73,3.42,2.31,-5.26,-3.56
8,9,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,3.61,8.25,5.68,10.21,3.55,11.76,8.53,11.92,14
9,10,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,13.67,28.68,18.99,18.03,11.86,36.11,11.47,23.08,9.26
10,11,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,-0.05,3.2,0.63,-1.11,-1.65,1.46,-1.25,0.43,-2.85
11,12,3,8,1,1108,16,1116,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",1,10.87,12.78,11.06,17.13,10.7,13.43,9.58,11.02,8.73
12,13,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0
13,14,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,23.91,19.61,25.83,19.45,17.21,16.6,15.11,13.86,6.58
14,15,1,9,1,9,17,1117,RVF-ASS-STRONG,THANKS,WELCOME,no,"['0', '0', '0', '0', '0', '0']",1,7.18,11.52,10.48,10.42,5.2,13.73,8.66,10.14,9.17
15,16,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,11.34,16.11,19.13,18.2,6.64,12.1,9,12.12,4.21
16,17,2,6,1,556,11,1111,RVF-ASS-STRONG,STRAY,CAT,no,"['0', '0', '0', '0', '0', '0']",1,2.7,3.32,6.06,5.5,5.45,4.06,7.1,5.61,9.26
